Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,Position,Height,Weight
B. Edomwonyi,23,Nigeria,67,FK Austria Wien,€1.1M,€6K,Right,ST,6.0,170
R. Naranjo,38,Chile,67,Deportes Iquique,€50K,€1K,Right,GK,6.4,190
J. Tinhan,29,Benin,67,ESTAC Troyes,€750K,€4K,Right,ST,5.93,157
H. Mizumoto,32,Japan,67,Sanfrecce Hiroshima,€450K,€4K,Right,RCB,6.0,163
A. Brosque,34,Australia,67,Sydney FC,€375K,€4K,Left,RS,6.0,159
S. Becker,23,Netherlands,67,ADO Den Haag,€1M,€3K,Right,RW,5.97,165
Yu Rui,25,China PR,67,Changchun Yatai FC,€825K,€4K,Right,RCB,6.1,168
P. Senderos,33,Switzerland,67,Houston Dynamo,€300K,€3K,Right,CB,6.2,185
F. Rodríguez,31,Colombia,67,Rionegro Águilas,€525K,€1K,Right,RDM,6.1,172
H. Sato,36,Japan,67,Nagoya Grampus,€270K,€3K,Left,ST,5.7,157
R. Matthews,24,England,67,Bolton Wanderers,€850K,€6K,Right,GK,6.0,172
T. Bishop,21,England,67,Ipswich Town,€1.2M,€3K,Right,CM,5.93,148
Lluis López,21,Spain,67,RCD Espanyol,€1.1M,€6K,Left,CB,6.0,174
S. McLaughlin,28,Republic of Ireland,67,Southend United,€775K,€4K,Left,RM,5.9,170
E. Aguilar,26,Costa Rica,67,Incheon United FC,€875K,€2K,Left,CM,5.9,161
M. Asselah,31,Algeria,67,Al Hazem,€475K,€4K,Right,GK,6.4,198
A. Dembélé,30,France,67,AC Ajaccio,€700K,€3K,Right,CM,5.6,143
Breno Laranjeiro,30,Brazil,67,Ceará Sporting Club,€725K,€7K,Left,CAM,5.97,152
J. Nietfeld,24,Germany,67, SSV Jahn Regensburg,€1.1M,€4K,Right,ST,6.1,183
A. Šemper,20,Croatia,67,Chievo Verona,€1.2M,€3K,Right,GK,6.4,201
T. Hájek,26,Czech Republic,67,Viktoria Plzeň,€775K,€1K,Left,CB,6.2,172
Dani Rodríguez,30,Spain,67,RCD Mallorca,€700K,€4K,Right,RCM,5.93,157
M. Deplagne,26,France,67,ESTAC Troyes,€725K,€3K,Right,RB,6.0,172
G. Díaz,28,Argentina,67,Defensa y Justicia,€775K,€5K,Left,LM,5.7,159
C. Brunner,24,Switzerland,67,DSC Arminia Bielefeld,€875K,€4K,Right,RB,5.97,165
P. Lipski,24,Poland,67,Lechia Gdańsk,€1M,€3K,Right,LCM,6.1,174
André Ferreira,22,Portugal,67,CD Aves,€850K,€3K,Right,GK,6.3,176
A. Ribera,22,Bolivia,67,,€0,€0,Right,RM,5.9,154
Assis,28,Brazil,67,Boavista FC,€525K,€3K,Right,GK,6.2,203
G. Hernández,25,Mexico,67,Club Necaxa,€1M,€12K,Left,CM,5.8,161
J. Pineda,29,Chile,67,CD Universidad de Concepción,€750K,€2K,Right,LW,5.93,163
M. Donoso,31,Chile,67,Club Deportes Temuco,€675K,€2K,Right,ST,6.1,192
L. Zander,22,Germany,67,FC St. Pauli,€900K,€7K,Right,RB,6.0,161
Curro Sánchez,22,Spain,67,Sevilla FC,€1.1M,€5K,Left,LM,5.9,150
Santamaría,33,Spain,67,SD Huesca,€375K,€6K,Right,GK,6.0,165
Z. Dedič,33,Slovenia,67,FC Wacker Innsbruck,€475K,€5K,Right,ST,6.0,170
C. Vargas,28,Colombia,67,Atlético Nacional,€650K,€2K,Right,GK,6.0,181
Akieme,20,Spain,67,Rayo Vallecano,€850K,€4K,Left,LB,5.9,143
Tete Morente,21,Spain,67,Gimnàstic de Tarragona,€1.4M,€3K,Right,LM,6.0,170
Shin Hyung Min,31,Korea Republic,67,Jeonbuk Hyundai Motors,€675K,€4K,Right,LM,6.0,170
N. Yennaris,25,England,67,Brentford,€950K,€13K,Right,RCM,5.7,154
P. van Ooijen,26,Netherlands,67,VVV-Venlo,€900K,€3K,Right,CM,5.93,165
G. Cvijanović,31,Slovenia,67,Arka Gdynia,€675K,€2K,Right,CAM,5.93,165
T. Taguchi,27,Japan,67,Júbilo Iwata,€850K,€3K,Right,LCM,5.9,154
M. Saunier,28,France,67,FC Lorient,€625K,€3K,Right,CB,6.0,165
L. Parunashvili,25,Georgia,67,Esbjerg fB,€850K,€3K,Right,CDM,5.97,159
R. Acquafresca,30,Italy,67,FC Sion,€725K,€11K,Right,ST,6.0,176
C. Tabó,24,Uruguay,67,Puebla FC,€950K,€3K,Right,LCM,5.9,154
Claytisco Branco,34,Brazil,67,Santos,€220K,€6K,Right,RB,6.0,159
S. Nijland,29,Netherlands,67,De Graafschap,€750K,€3K,Right,CAM,6.2,179
J. Guthrie,25,England,67,Walsall,€750K,€3K,Left,LCB,6.4,181
J. Fernández,23,Argentina,67,CD Palestino,€975K,€2K,Right,LCM,5.93,159
R. Crivello,26,Italy,67,Spezia,€650K,€2K,Left,LB,5.97,168
T. Ayasse,31,France,67,Stade Brestois 29,€525K,€3K,Right,CDM,6.0,165
D. Zúñiga,21,Chile,67,CD Everton de Viña del Mar,€1.1M,€1K,Right,LB,5.7,161
L. Załuska,36,Poland,67,Pogoń Szczecin,€100K,€1K,Right,GK,6.3,194
R. Vasilev,27,Bulgaria,67,,€0,€0,Right,ST,6.1,163
M. Schmerböck,24,Austria,67,Wolfsberger AC,€1.1M,€5K,Left,RS,5.97,161
Y. Abe,36,Japan,67,Urawa Red Diamonds,€100K,€3K,Right,CB,5.93,170
J. Ruiz,20,France,67,FC Sochaux-Montbéliard,€1.2M,€2K,Right,CB,6.2,176
M. Bravo,31,Argentina,67,San Martín de San Juan,€675K,€6K,Left,ST,5.6,159
Augusto,30,Portugal,67,Śląsk Wrocław,€575K,€3K,Left,CDM,5.97,176
A. Maxsø,24,Denmark,67,FC Zürich,€900K,€4K,Right,LCB,6.4,196
D. Vergara,21,Colombia,67,Envigado FC,€1.3M,€1K,Right,RM,5.8,159
Park Dong Jin,23,Korea Republic,67,FC Seoul,€900K,€2K,Right,CB,6.0,159
A. Maksimenko,20,Russia,67,Spartak Moscow,€1.2M,€1K,Left,GK,6.2,179
M. Vrushaj,19,Albania,67,Olympiacos CFP,€1.4M,€1K,Right,LM,5.93,168
L. Garbutt,25,England,67,Oxford United,€825K,€4K,Left,LB,5.93,161
G. Munari,35,Italy,67,Parma,€325K,€10K,Right,CM,6.3,185
C. Burke,26,Jamaica,67,Philadelphia Union,€900K,€3K,Right,ST,6.3,181
Rudy,29,Angola,67,Waterford FC,€750K,€1K,Right,RM,6.2,161
S. Knežević,21,Switzerland,67,FC Luzern,€1.2M,€4K,Right,CB,6.2,179
M. Heider,32,Germany,67,VfL Osnabrück,€600K,€2K,Right,RM,6.2,172
L. Gutiérrez,33,Bolivia,67,,€0,€0,Right,,5.97,190
J. Alnwick,25,England,67,Scunthorpe United,€725K,€11K,Left,GK,6.2,181
S. O'Donnell,26,Scotland,67,Kilmarnock,€775K,€3K,Right,RB,6.0,196
S. Edera,21,Italy,67,Torino,€1.2M,€11K,Left,RW,5.9,148
A. Arellano,23,Mexico,67,Querétaro,€900K,€3K,Right,CDM,5.9,141
G. Hupperts,26,Netherlands,67,Sporting Lokeren,€900K,€5K,Right,RW,5.9,172
L. Isgrove,25,Wales,67,Barnsley,€950K,€4K,Right,RM,5.93,159
M. Lampson,28,United States,67,Minnesota United FC,€650K,€2K,Right,GK,6.3,201
R. Di Gennaro,24,Italy,67,Inter,€675K,€11K,Right,GK,6.2,176
Melvin Regalito,26,Brazil,67,Atlético Paranaense,€825K,€5K,Left,CAM,6.0,168
L. Akins,29,England,67,Burton Albion,€750K,€5K,Right,RB,5.93,174
J. Valencia,26,Colombia,67,CD Feirense,€925K,€5K,Right,ST,6.2,179
L. Ayçiçek,24,Germany,67,SpVgg Greuther Fürth,€1M,€3K,Right,LM,5.7,148
E. Albín,29,Uruguay,67,San Martin de Tucumán,€575K,€4K,Right,RB,5.9,154
M. Troiano,33,Italy,67,Ascoli,€450K,€2K,Left,CM,6.2,181
F. Escobar,23,Panama,67,New York Red Bulls,€900K,€2K,Right,CB,5.97,190
N. Linares,22,Argentina,67,Club Atlético Banfield,€1.1M,€4K,Right,CDM,5.9,159
J. Ávila,26,Colombia,67,Junior FC,€775K,€2K,Right,CB,6.2,194
Nuno Valente,26,Portugal,67,Vitória de Setúbal,€875K,€3K,Right,CM,5.9,150
R. Baku,20,Germany,67,1. FSV Mainz 05,€1.7M,€7K,Right,CM,5.9,159
Samu,22,Portugal,67,Boavista FC,€1M,€3K,Left,LM,5.7,146
D. Vicencio,25,Chile,67,San Luis de Quillota,€825K,€2K,Right,CB,5.93,176
C. Shields,27,Republic of Ireland,67,Dundalk,€750K,€1K,Right,RCM,6.1,172
Choi Sung Keun,26,Korea Republic,67,Suwon Samsung Bluewings,€875K,€3K,Right,CM,5.97,148
O. Sow,28,Sweden,67,Milton Keynes Dons,€800K,€7K,Left,ST,6.4,176
L. Orejuela,22,Colombia,67,Ajax,€875K,€5K,Right,RB,5.97,157
S. Leuko,24,Cameroon,67,CD Lugo,€850K,€3K,Right,RB,5.9,154
D. Goutas,24,Greece,67,Lech Poznań,€875K,€3K,Right,CB,6.2,179
Wilsson Rosito,34,Brazil,67,Paraná,€375K,€7K,Left,CAM,5.97,161
D. Rigo,19,Belgium,67,PSV,€1.4M,€3K,Right,CM,5.97,165
A. Bastoni,19,Italy,67,Parma,€1.5M,€7K,Left,CB,6.3,165
S. Eastwood,29,England,67,Oxford United,€625K,€4K,Right,GK,6.2,198
T. Boyd,27,United States,67,SV Darmstadt 98,€825K,€8K,Right,ST,6.2,181
F. Nájera,34,Colombia,67,La Equidad,€230K,€1K,Right,CB,6.1,172
Jairo,24,Spain,67,Cádiz CF,€975K,€8K,Left,LM,5.5,148
D. Milinković,24,France,67,Hull City,€1M,€8K,Right,LM,5.93,154
F. Ayé,21,France,67,Clermont Foot 63,€1.1M,€2K,Right,ST,6.0,165
J. Vachoux,23,France,67,Racing Club de Lens,€850K,€2K,Right,GK,6.0,172
N. Bajrami,19,Switzerland,67,Grasshopper Club Zürich,€1.6M,€3K,Right,LCM,5.93,150
P. Mandanda,28,DR Congo,67,Sporting de Charleroi,€625K,€4K,Right,GK,6.0,185
M. Đurić,28,Bosnia Herzegovina,67,US Salernitana 1919,€800K,€2K,Right,ST,6.6,207
Éverton Luiz,30,Brazil,67,SPAL,€575K,€5K,Right,CDM,5.8,154
Puertas,26,Spain,67,Granada CF,€900K,€4K,Right,RM,6.0,170
J. Duverne,20,France,67,Racing Club de Lens,€1.1M,€3K,Right,CB,6.0,157
G. Dicker,31,Republic of Ireland,67,Kilmarnock,€525K,€3K,Right,RCM,6.0,179
G. Massey,25,England,67,Wigan Athletic,€900K,€16K,Right,RM,5.97,165
N. Stefanelli,24,Argentina,67,AIK,€1.1M,€3K,Right,ST,5.5,157
J. Andrada,23,Argentina,67,Godoy Cruz,€975K,€4K,Right,CDM,6.0,170
R. Zhemaletdinov,21,Russia,67,Lokomotiv Moscow,€1.3M,€1K,Right,ST,6.0,176
L. Sercombe,28,England,67,Bristol Rovers,€750K,€4K,Right,LCM,5.93,152
D. De Belder,26,Belgium,67,KSV Cercle Brugge,€925K,€6K,Right,ST,6.0,159
J. Kubicki,22,Poland,67,Lechia Gdańsk,€1M,€3K,Right,RCM,5.93,152
J. Rasmussen,21,Denmark,67,Empoli,€1.2M,€3K,Left,CB,6.3,179
Y. Ramadani,22,Albania,67,Vejle Boldklub,€925K,€3K,Right,CM,6.1,165
E. Akichi,28,Ivory Coast,67,Paris FC,€700K,€3K,Right,LCM,5.93,165
C. Chiricò,26,Italy,67,Lecce,€825K,€2K,Left,RW,5.7,159
H. Sacko,24,Mali,67,UD Las Palmas,€1M,€12K,Right,RM,6.0,181
Chris Farminhão,34,Brazil,67,Grêmio,€230K,€9K,Right,CB,6.2,170
D. Keita-Ruel,28,Germany,67,SpVgg Greuther Fürth,€800K,€4K,Right,ST,6.1,174
P. Zulu,25,South Africa,67,Kaizer Chiefs,€900K,€1K,Left,LM,5.93,154
H. Bahebri,25,Saudi Arabia,67,Al Shabab,€900K,€10K,Left,RM,5.7,148
C. Arias,30,Colombia,67,Alianza Petrolera,€725K,€1K,Right,ST,5.9,170
Jeong Woo Jae,26,Korea Republic,67,Daegu FC,€900K,€2K,Right,RM,5.93,154
W. Dammers,23,Netherlands,67,Fortuna Sittard,€825K,€3K,Right,LCB,6.1,179
K. Kotsaris,21,Greece,67,Panathinaikos FC,€950K,€1K,Right,GK,6.1,179
M. Poletanović,24,Serbia,67,Jagiellonia Białystok,€900K,€3K,Right,RDM,6.2,165
J. Hopcutt,26,England,67,Östersunds FK,€975K,€3K,Right,CF,5.97,163
P. Małecki,29,Poland,67,Wisła Kraków,€750K,€3K,Right,LM,5.7,154
B. Mitrev,31,Bulgaria,67,,€0,€0,Right,GK,6.0,163
Qin Sheng,31,China PR,67,Dalian YiFang FC,€525K,€5K,Right,CDM,6.0,168
Marco Soares,34,Cape Verde,67,CD Feirense,€230K,€4K,Right,CDM,6.0,176
Romário,32,Brazil,67,Kalmar FF,€575K,€2K,Right,LCM,5.8,159
Pedro Trigueira,30,Portugal,67,Moreirense FC,€575K,€2K,Right,GK,6.4,172
A. Hrustić,21,Australia,67,FC Groningen,€1.1M,€3K,Left,CAM,5.93,154
U. Segura,25,Costa Rica,67,DC United,€950K,€3K,Right,CM,6.0,154
J. Billong,24,France,67,Benevento,€850K,€2K,Right,CB,6.4,194
L. Arias,33,Colombia,67,Deportivo Pasto,€475K,€1K,Left,LM,5.6,154
K. Arkivuo,35,Finland,67,BK Häcken,€160K,€1K,Right,LB,5.9,159
S. Palombi,22,Italy,67,Lecce,€1.2M,€13K,Right,RS,6.0,165
G. Maggiore,20,Italy,67,Spezia,€1.7M,€1K,Right,CM,6.0,152
M. Konrad,30,Germany,67,KFC Uerdingen 05,€575K,€3K,Right,RDM,6.2,194
Zheng Long,30,China PR,67,Guangzhou Evergrande Taobao FC,€725K,€7K,Left,LW,5.93,165
A. Lazaar,26,Morocco,67,Newcastle United,€725K,€13K,Left,LB,6.0,176
J. Donachie,25,Australia,67,Jeonnam Dragons,€775K,€3K,Right,LCB,6.5,192
J. Bizama,24,Chile,67,CD Huachipato,€900K,€2K,Right,RB,5.93,165
A. Rossi,21,Italy,67,Lazio,€1.3M,€12K,Right,ST,6.0,172
Nolaskoain,19,Spain,67,Athletic Club de Bilbao,€1.1M,€3K,Right,CB,6.1,176
H. Singh,27,Norway,67,Sarpsborg 08 FF,€775K,€2K,Right,LCM,5.97,159
João Carlos,23,Brazil,67,Portimonense SC,€1M,€3K,Right,ST,6.2,192
J. Nation,28,Norway,67,Vålerenga Fotball,€700K,€2K,Right,RCB,6.2,190
S. Kulovits,35,Austria,67,SV Sandhausen,€180K,€2K,Right,CDM,5.93,154
T. Grøgaard,24,Norway,67,SK Brann,€900K,€2K,Left,LB,5.97,157
R. Williams,24,Australia,67,Rotherham United,€975K,€10K,Right,RM,5.8,148
F. Miguel,21,France,67,Nîmes Olympique,€1M,€4K,Left,LB,5.93,154
M. Bukata,24,Slovakia,67,Benevento,€950K,€2K,Right,CM,5.9,152
K. Broll,22,Germany,67,SG Sonnenhof Großaspach,€800K,€1K,Right,GK,6.1,170
M. Jiménez,28,Mexico,67,Guadalajara,€650K,€10K,Right,GK,6.0,174
K. Nagai,29,Japan,67,FC Tokyo,€750K,€5K,Right,ST,5.93,157
C. Philipps,24,Luxembourg,67,Legia Warszawa,€900K,€3K,Right,CDM,6.0,176
M. Sadler,33,England,67,Shrewsbury,€300K,€4K,Left,LCB,6.0,163
F. Centonze,22,France,67,Racing Club de Lens,€950K,€3K,Right,RB,6.0,165
J. Ligali,27,France,67,Montpellier HSC,€675K,€6K,Right,GK,6.0,190
A. Sánchez,31,Argentina,67,Atlético Tucumán,€475K,€3K,Left,GK,6.2,194
A. Nalini,28,Italy,67,Crotone,€775K,€2K,Right,LS,5.97,159
Zheng Zheng,28,China PR,67,Shandong Luneng TaiShan FC,€600K,€6K,Left,LB,6.1,170
Héctor Rodas,30,Spain,67,AD Alcorcón,€575K,€3K,Right,CB,6.3,187
D. Høegh,27,Denmark,67,SC Heerenveen,€725K,€3K,Right,RCB,6.3,174
C. Martschinko,24,Austria,67,FK Austria Wien,€850K,€5K,Left,LB,5.9,172
F. Micolta,28,Colombia,67,Puebla FC,€800K,€4K,Right,ST,5.93,168
J. Piotrowski,20,Poland,67,KRC Genk,€1.2M,€4K,Right,CM,6.2,176
M. Carretta,27,Italy,67,US Cremonese,€800K,€2K,Left,LW,5.93,165
J. Skalák,26,Czech Republic,67,Millwall,€900K,€5K,Right,LM,5.93,168
L. Lindsay,22,Scotland,67,Barnsley,€1.1M,€4K,Left,LCB,6.4,196
V. Hoff,22,Norway,67,Odds BK,€1.1M,€2K,Right,CM,5.97,163
M. Zaccagni,23,Italy,67,Hellas Verona,€1.1M,€2K,Right,CM,5.93,139
R. Vera,35,Argentina,67,Patronato,€180K,€4K,Right,RCB,6.0,190
J. Riedel,26,Germany,67,FC Hansa Rostock,€775K,€2K,Right,LCB,6.0,168
T. Yalçıner,31,Turkey,67,Alanyaspor,€525K,€5K,Left,CDM,5.93,154
B. De Alba,25,Colombia,67,La Equidad,€1M,€1K,Left,CAM,5.6,143
A. Nouri,28,Norway,67,Vålerenga Fotball,€600K,€2K,Right,RB,5.97,170
C. Gartner,24,Austria,67,MSV Duisburg,€975K,€3K,Right,CM,5.97,168
T. Geyer,27,Germany,67,VfR Aalen,€650K,€1K,Right,LCB,5.93,157
L. Domínguez,28,Chile,67,CD Everton de Viña del Mar,€700K,€2K,Left,CB,6.2,170
Naldo,28,Brazil,67,Al Fayha,€625K,€7K,Right,CDM,6.1,165
L. Kelly,19,England,67,Bristol City,€1.5M,€5K,Left,LB,6.3,154
S. Whalley,30,England,67,Shrewsbury,€725K,€4K,Right,RM,5.9,148
K. Anzai,23,Japan,67,Kashima Antlers,€900K,€4K,Right,LB,5.8,141
C. Pontius,30,United States,67,LA Galaxy,€725K,€3K,Right,RM,6.0,170
E. Zavaleta,25,United States,67,Toronto FC,€775K,€3K,Right,CB,6.1,185
G. O'Neil,35,England,67,Bolton Wanderers,€180K,€3K,Right,CDM,5.8,134
G. Loovens,34,Netherlands,67,Sunderland,€230K,€5K,Left,CB,6.3,163
A. González,30,Uruguay,67,CD Palestino,€550K,€2K,Right,RCB,6.0,174
Luís Cortez,24,Portugal,67,Vitória de Setúbal,€975K,€2K,Right,CAM,5.9,146
M. Hernández,35,Mexico,67,Tiburones Rojos de Veracruz,€180K,€2K,Right,GK,6.0,181
C. Donaldson,34,Jamaica,67,Bolton Wanderers,€400K,€5K,Right,ST,6.1,176
D. Mendiseca,22,Paraguay,67,,€0,€0,Left,LB,6.0,174
S. Cronin,31,United States,67,Minnesota United FC,€525K,€3K,Right,CDM,5.93,165
J. Taylor,25,England,67,Rotherham United,€900K,€11K,Right,LM,5.6,170
R. Hall,24,England,67,Oxford United,€975K,€4K,Left,RM,5.8,146
S. Gbohouo,29,Ivory Coast,67,,€0,€0,Right,GK,6.3,181
N. Yeri,26,Argentina,67,Club Atlético Aldosivi,€875K,€4K,Right,CM,5.9,179
M. Pinato,23,Italy,67,Venezia FC,€1.1M,€13K,Left,LCM,5.9,146
M. Johnson,27,England,67,Sheffield United,€800K,€17K,Left,LM,5.93,163
D. Wouters,21,Belgium,67,KRC Genk,€1M,€4K,Left,CDM,6.3,179
J. Campuzano,22,Colombia,67,Atlético Nacional,€1.3M,€2K,Right,CDM,5.93,154
Z. Valentin,26,United States,67,Portland Timbers,€725K,€3K,Right,LB,6.0,161
L. Néry,27,France,67,AS Nancy Lorraine,€700K,€3K,Right,RB,5.9,161
J. Iglesias,29,Uruguay,67,Clermont Foot 63,€600K,€3K,Right,RDM,5.7,152
M. El Hamdaoui,33,Morocco,67,Excelsior,€475K,€3K,Right,ST,6.0,185
Welson Leima,34,Brazil,67,Botafogo,€230K,€7K,Right,CDM,5.93,172
M. Little,29,England,67,Bolton Wanderers,€575K,€4K,Right,RB,6.1,172
B. Lennon,20,United States,67,Real Salt Lake,€1.1M,€2K,Right,RB,5.93,154
N. Mitrović,25,Slovenia,67,Jagiellonia Białystok,€850K,€3K,Right,CB,6.4,194
Serginho,35,Portugal,67,Santa Clara,€180K,€1K,Right,GK,6.3,183
R. Buess,25,Switzerland,67,FC St. Gallen,€975K,€6K,Right,ST,6.0,172
A. Al Sahabi,31,Saudi Arabia,67,Al Faisaly,€525K,€8K,Right,RCB,5.97,148
Y. El Jebli,25,Netherlands,67,De Graafschap,€925K,€3K,Right,CAM,5.93,163
C. Durkin,18,United States,67,DC United,€1.4M,€1K,Right,CDM,6.0,165
P. Bengtsson,30,Sweden,67,FC København,€550K,€7K,Left,LB,5.9,163
F. Kamberi,23,Switzerland,67,Hibernian,€1.2M,€3K,Right,ST,6.2,190
D. Irandust,20,Sweden,67,BK Häcken,€1.2M,€2K,Left,CAM,6.1,161
L. Nomenjanahary,32,Madagascar,67,Paris FC,€600K,€3K,Left,RW,5.93,168
D. Steres,27,United States,67,LA Galaxy,€725K,€3K,Right,RCB,6.0,170
G. Donyoh,23,Ghana,67,FC Nordsjælland,€1.1M,€5K,Left,LW,5.93,157
Castro,23,Spain,67,RCD Mallorca,€1.1M,€3K,Left,ST,5.9,150
F. Troyansky,21,Argentina,67,Unión de Santa Fe,€1.5M,€4K,Left,ST,5.93,170
D. Koppers,26,Netherlands,67,PEC Zwolle,€725K,€4K,Left,LB,5.93,159
M. Moscati,25,Italy,67,Perugia,€950K,€2K,Right,CM,5.97,165
J. Roa,23,Colombia,67,Jaguares de Córdoba,€975K,€1K,Right,RDM,5.93,143
Lu Wenjun,29,China PR,67,Shanghai SIPG FC,€750K,€7K,Right,ST,6.1,157
F. Crivelli,36,Argentina,67,Club Atlético Tigre,€100K,€3K,Right,GK,6.1,183
J. Amoroso,30,Argentina,67,Newell's Old Boys,€725K,€6K,Right,RM,6.1,154
A. Barillà,30,Italy,67,Parma,€700K,€13K,Left,RCM,5.97,172
K. Agard,28,England,67,Milton Keynes Dons,€800K,€7K,Right,RW,5.9,148
Y. Boli,30,Ivory Coast,67,Colorado Rapids,€725K,€3K,Right,LS,5.97,172
Borja Viguera,31,Spain,67,CD Numancia,€675K,€4K,Right,ST,6.0,168
A. Masika,25,Kenya,67,Beijing Renhe FC,€900K,€5K,Right,LM,5.7,132
S. Kroon,25,Sweden,67,Östersunds FK,€950K,€2K,Right,RM,6.0,161
A. Al Hafith,25,Saudi Arabia,67,Al Hilal,€850K,€11K,Right,CB,6.1,170
J. Gradit,25,France,67,Stade Malherbe Caen,€800K,€7K,Right,RB,5.97,170
L. Boeder,21,Germany,67,SC Paderborn 07,€900K,€3K,Right,RB,6.0,179
T. Pochettino,22,Argentina,67,Club Atlético Talleres,€1.1M,€7K,Right,CM,5.93,157
A. Robic,32,France,67,AS Nancy Lorraine,€600K,€3K,Right,RM,5.97,168
E. Nazaryna,20,Ukraine,67,Royal Antwerp FC,€1.2M,€3K,Right,CM,6.0,165
J. Cascante,24,Costa Rica,67,Portland Timbers,€875K,€2K,Right,LCB,6.2,170
A. Ibrahim,27,Norway,67,Vålerenga Fotball,€850K,€2K,Right,CM,6.1,157
F. Ulvestad,26,Norway,67,Djurgårdens IF,€925K,€3K,Right,CM,6.0,185
C. Çavlan,26,Netherlands,67,FC Emmen,€750K,€3K,Left,LM,5.9,154
F. Ben Youssef,27,Tunisia,67,Ettifaq FC,€825K,€11K,Right,LM,6.3,190
M. Pučko,24,Slovenia,67,Korona Kielce,€1M,€2K,Right,RM,5.9,150
C. Gönen,30,Turkey,67,Málaga CF,€500K,€3K,Right,GK,6.3,185
S. Moore,28,England,67,Sheffield United,€525K,€4K,Right,GK,6.3,183
L. Taylor,28,Montserrat,67,Charlton Athletic,€800K,€5K,Right,RS,6.2,174
M. de Leeuw,31,Netherlands,67,Chicago Fire,€675K,€3K,Right,CAM,5.93,148
A. Ngamukol,30,DR Congo,67,Stade de Reims,€725K,€7K,Right,ST,5.93,154
F. Brandán,28,Argentina,67,San Martín de San Juan,€775K,€6K,Right,LM,5.6,139
Zubiaurre,21,Spain,67,Real Sociedad,€850K,€4K,Left,GK,6.2,181
S. Quinn,32,Republic of Ireland,67,Burton Albion,€575K,€4K,Left,CDM,5.6,132
S. Bertram,27,Germany,67,FC Erzgebirge Aue,€825K,€3K,Left,RS,6.1,181
Z. Korcsmár,29,Hungary,67,FC Midtjylland,€600K,€7K,Right,CB,6.2,183
Camacho,37,Spain,67,SD Huesca,€260K,€6K,Left,CAM,5.97,165
D. Sorgić,28,Serbia,67,FC Thun,€800K,€6K,Right,ST,5.93,154
P. Mortensen,28,Denmark,67,Sarpsborg 08 FF,€800K,€2K,Right,LS,6.2,179
Tekio,27,Spain,67,Elche CF,€625K,€3K,Right,RB,5.9,159
P. Ofosu-Ayeh,26,Ghana,67,FC Hansa Rostock,€725K,€18K,Right,RB,5.97,179
M. Bíttolo,28,Argentina,67,Newell's Old Boys,€600K,€6K,Left,LB,5.9,146
B. Djiby Fall,33,Senegal,67,Hobro IK,€475K,€4K,Right,ST,6.2,181
D. Cardoso,29,South Africa,67,Kaizer Chiefs,€600K,€1K,Left,LCB,6.0,172
J. Demetriou,30,Cyprus,67,Southend United,€550K,€4K,Right,RB,5.97,150
Ilhamjan Iminjan,32,China PR,67,Guizhou Hengfeng FC,€600K,€5K,Right,RM,5.9,154
M. Ritzmaier,25,Austria,67,Wolfsberger AC,€950K,€5K,Left,LCM,5.97,163
C. Dell'Orco,24,Italy,67,Sassuolo,€875K,€12K,Left,LB,6.0,165
H. Shala,26,Norway,67,IK Start,€950K,€2K,Left,RW,5.93,157
R. Williams,26,South Africa,67,,€0,€0,Right,GK,6.0,157
S. Molina,26,Italy,67,Crotone,€900K,€2K,Right,RM,5.93,165
J. Ángulo,22,Colombia,67,Deportivo Cali,€1.1M,€1K,Left,LB,6.0,163
F. Guichón,27,Uruguay,67,Independiente Santa Fe,€800K,€2K,Left,LM,6.0,165
G. Tormin,20,France,67,KSV Cercle Brugge,€1.3M,€14K,Left,RM,5.9,161
R. Noya,28,Argentina,67,Tiburones Rojos de Veracruz,€625K,€3K,Right,RCB,6.4,194
L. Clemenza,20,Italy,67,Padova,€1.2M,€19K,Left,CAM,5.9,170
Paik Seung Ho,21,Korea Republic,67,Girona FC,€1.2M,€7K,Right,CM,5.97,150
L. Wolsztyński,23,Poland,67,Górnik Zabrze,€1.1M,€2K,Right,RS,6.0,161
P. Göbel,24,Germany,67,FC Würzburger Kickers,€950K,€3K,Right,RB,5.7,150
A. Gouiri,18,France,67,Olympique Lyonnais,€1.6M,€10K,Right,ST,6.0,176
S. Bruzzese,29,Belgium,67,KV Kortrijk,€600K,€4K,Left,GK,6.1,176
M. Njie,22,Norway,67,Stabæk Fotball,€1.1M,€2K,Right,LM,6.1,165
S. Raggett,24,England,67,Rotherham United,€900K,€8K,Right,CB,6.5,196
P. Klewin,24,Germany,67,DSC Arminia Bielefeld,€750K,€3K,Right,GK,6.4,190
G. Ţucudean,27,Romania,67,,€0,€0,Right,ST,6.2,176
J. Ward,32,Northern Ireland,67,Charlton Athletic,€600K,€17K,Right,ST,5.5,130
S. Jovanović,26,Serbia,67,Córdoba CF,€900K,€4K,Left,ST,5.9,165
N. Schouterden,29,Belgium,67,KAS Eupen,€750K,€5K,Left,LM,5.9,143
S. Wannenwetsch,26,Germany,67,FC Hansa Rostock,€775K,€2K,Right,RB,5.93,161
R. Oxford,19,England,67,West Ham United,€1.3M,€9K,Right,CB,6.3,172
R. Gelmi,23,Switzerland,67,FC Thun,€1.1M,€4K,Right,RCB,6.2,172
